Supplementary_Table8:  NIPT data with different fetal concentrations,,,,,,,
,,,,,,,
,sample,chr13_count,chr13_prob,total_reads,coverage,ff,Z_score_CHR13
0,sample_0,608,0.01587343,38303,0.279084,0.04,7.103748291
1,sample_1,908,0.01670561,54353,0.395974,0.04,14.20134779
2,sample_2,956,0.016363138,58424,0.425634,0.04,11.28043494
3,sample_3,675,0.015852885,42579,0.310218,0.04,6.928520957
4,sample_4,236,0.013296524,17749,0.129328,0.04,-14.87450747
5,sample_5,236,0.012285268,19210,0.140003,0.04,-23.49943633
6,sample_6,676,0.017581732,38449,0.280077,0.04,21.67373127
7,sample_7,856,0.015415369,55529,0.404553,0.04,3.196971771
8,sample_8,401,0.017742578,22601,0.164639,0.04,23.04557657
9,sample_9,410,0.016835017,24354,0.177429,0.04,15.30505284
10,sample_10,414,0.016938057,24442,0.178057,0.04,16.18387898
11,sample_11,441,0.014313535,30810,0.224474,0.04,-6.200493256
12,sample_12,485,0.014847696,32665,0.238016,0.04,-1.64466506
13,sample_13,486,0.014138182,34375,0.250477,0.04,-7.696064597
14,sample_14,426,0.017271437,24665,0.179712,0.04,19.02725214
15,sample_15,667,0.015342504,43474,0.316802,0.04,2.57551144
16,sample_16,681,0.016677279,40834,0.297479,0.04,13.95971563
17,sample_17,1053,0.016888532,62350,0.454283,0.04,15.76148402
18,sample_18,501,0.015403062,32526,0.237018,0.04,3.092011511
19,sample_19,1050,0.015625233,67199,0.489632,0.04,4.986886926
20,sample_20,956,0.016395129,58310,0.424809,0.04,11.55328432
21,sample_21,883,0.015654918,56404,0.411015,0.04,5.240073101
22,sample_22,774,0.014691089,52685,0.383866,0.04,-2.980361753
23,sample_23,446,0.017930369,24874,0.181196,0.04,24.64723543
24,sample_24,394,0.015344472,25677,0.187103,0.04,2.592297576
25,sample_25,292,0.01329872,21957,0.160018,0.04,-14.85577386
26,sample_26,864,0.016337027,52886,0.385288,0.04,11.05773073
27,sample_27,369,0.014303434,25798,0.187994,0.04,-6.286637088
28,sample_28,726,0.015970084,45460,0.331185,0.04,7.928097622
29,sample_29,822,0.016825644,48854,0.355973,0.04,15.22511049
30,sample_30,792,0.01615733,49018,0.357135,0.04,9.525108833
31,sample_31,684,0.017381582,39352,0.286684,0.04,19.96666572
32,sample_32,805,0.01577658,51025,0.371789,0.04,6.277719942
33,sample_33,349,0.016325194,21378,0.155749,0.04,10.95681056
34,sample_34,735,0.015759005,46640,0.339826,0.04,6.127824319
35,sample_35,1004,0.01634487,61426,0.447546,0.04,11.12462686
36,sample_36,575,0.017435866,32978,0.240286,0.04,20.42965624
37,sample_37,751,0.014873349,50493,0.367908,0.04,-1.425876936
38,sample_38,807,0.016705999,48306,0.35199,0.04,14.20467091
39,sample_39,984,0.016638485,59140,0.43084,0.04,13.62884613
40,sample_40,962,0.014770232,65131,0.474622,0.04,-2.305350189
41,sample_41,784,0.015103063,51910,0.37827,0.04,0.533339534
42,sample_42,603,0.017607896,34246,0.249471,0.04,21.89688364
43,sample_43,689,0.014798746,46558,0.339243,0.04,-2.062161823
44,sample_44,426,0.018035563,23620,0.172066,0.04,25.5444279
45,sample_45,403,0.014309555,28163,0.205234,0.04,-6.234433935
46,sample_46,656,0.014950885,43877,0.319742,0.04,-0.764572277
47,sample_47,418,0.017941454,23298,0.169752,0.04,24.74177983
48,sample_48,472,0.01639686,28786,0.209736,0.04,11.56804026
49,sample_49,671,0.014419254,46535,0.339098,0.04,-5.298816827
50,sample_50,573,0.017912967,31988,0.23307,0.04,24.49881757
