,nipt_files,mapping
0,sample_0,sample_0
1,sample_1,sample_1
2,sample_2,sample_2
3,sample_3,sample_3
4,sample_4,sample_4
5,sample_5,sample_5
6,sample_6,sample_6
7,sample_7,sample_7
8,sample_8,sample_8
9,sample_9,sample_9
10,sample_10,sample_10
11,sample_11,sample_11
12,sample_12,sample_12
13,sample_13,sample_13
14,sample_14,sample_14
15,sample_15,sample_15
16,sample_16,sample_16
17,sample_17,sample_17
18,sample_18,sample_18
19,sample_19,sample_19
20,sample_20,sample_20
21,sample_24,sample_21
22,sample_25,sample_22
23,sample_26,sample_23
24,sample_27,sample_24
25,sample_28,sample_25
26,sample_29,sample_26
27,sample_30,sample_27
28,sample_31,sample_28
29,sample_32,sample_29
30,sample_33,sample_30
31,sample_34,sample_31
32,sample_35,sample_32
33,sample_36,sample_33
34,sample_37,sample_34
35,sample_38,sample_35
36,sample_39,sample_36
37,sample_40,sample_37
38,sample_41,sample_38
39,sample_42,sample_39
40,sample_44,sample_40
41,sample_45,sample_41
42,sample_46,sample_42
43,sample_47,sample_43
44,sample_48,sample_44
45,sample_49,sample_45
46,sample_50,sample_46
47,sample_51,sample_47
48,sample_52,sample_48
49,sample_53,sample_49
50,sample_54,sample_50
51,sample_57,sample_51
52,sample_58,sample_52
53,sample_59,sample_53
54,sample_60,sample_54
55,sample_61,sample_55
56,sample_62,sample_56
57,sample_63,sample_57
58,sample_64,sample_58
59,sample_65,sample_59
60,sample_66,sample_60
61,sample_67,sample_61
62,sample_68,sample_62
63,sample_69,sample_63
64,sample_70,sample_64
65,sample_71,sample_65
66,sample_72,sample_66
67,sample_73,sample_67
68,sample_74,sample_68
69,sample_75,sample_69
70,sample_76,sample_70
71,sample_77,sample_71
72,sample_78,sample_72
73,sample_79,sample_73
74,sample_80,sample_74
75,sample_81,sample_75
76,sample_82,sample_76
77,sample_83,sample_77
78,sample_84,sample_78
79,sample_85,sample_79
80,sample_86,sample_80
81,sample_87,sample_81
82,sample_88,sample_82
83,sample_89,sample_83
84,sample_90,sample_84
85,sample_91,sample_85
86,sample_92,sample_86
87,sample_93,sample_87
88,sample_94,sample_88
89,sample_95,sample_89
90,sample_96,sample_90
91,sample_97,sample_91
92,sample_98,sample_92
93,sample_99,sample_93
94,sample_100,sample_94
95,sample_101,sample_95
96,sample_102,sample_96
97,sample_103,sample_97
98,sample_104,sample_98
99,sample_105,sample_99
100,sample_106,sample_100
101,sample_107,sample_101
102,sample_108,sample_102
103,sample_109,sample_103
104,sample_110,sample_104
105,sample_111,sample_105
106,sample_112,sample_106
107,sample_113,sample_107
108,sample_114,sample_108
109,sample_115,sample_109
110,sample_116,sample_110
111,sample_117,sample_111
112,sample_118,sample_112
113,sample_119,sample_113
114,sample_120,sample_114
115,sample_121,sample_115
116,sample_122,sample_116
117,sample_123,sample_117
118,sample_124,sample_118
119,sample_125,sample_119
120,sample_126,sample_120
121,sample_127,sample_121
122,sample_129,sample_122
123,sample_130,sample_123
124,sample_131,sample_124
125,sample_132,sample_125
126,sample_133,sample_126
127,sample_134,sample_127
128,sample_135,sample_128
129,sample_136,sample_129
130,sample_137,sample_130
131,sample_138,sample_131
132,sample_139,sample_132
133,sample_140,sample_133
134,sample_141,sample_134
135,sample_142,sample_135
136,sample_143,sample_136
137,sample_144,sample_137
138,sample_145,sample_138
139,sample_146,sample_139
140,sample_147,sample_140
141,sample_148,sample_141
142,sample_149,sample_142
143,sample_150,sample_143
144,sample_151,sample_144
145,sample_152,sample_145
146,sample_153,sample_146
147,sample_154,sample_147
148,sample_155,sample_148
149,sample_156,sample_149
150,sample_157,sample_150
151,sample_158,sample_151
152,sample_159,sample_152
153,sample_160,sample_153
154,sample_161,sample_154
155,sample_162,sample_155
156,sample_163,sample_156
157,sample_164,sample_157
158,sample_165,sample_158
159,sample_166,sample_159
160,sample_167,sample_160
161,sample_168,sample_161
162,sample_169,sample_162
163,sample_170,sample_163
164,sample_171,sample_164
165,sample_172,sample_165
166,sample_173,sample_166
167,sample_174,sample_167
168,sample_175,sample_168
169,sample_177,sample_169
170,sample_178,sample_170
171,sample_179,sample_171
172,sample_180,sample_172
173,sample_181,sample_173
174,sample_182,sample_174
175,sample_183,sample_175
176,sample_184,sample_176
177,sample_185,sample_177
178,sample_186,sample_178
179,sample_187,sample_179
180,sample_188,sample_180
181,sample_189,sample_181
182,sample_190,sample_182
183,sample_191,sample_183
184,sample_192,sample_184
185,sample_193,sample_185
186,sample_194,sample_186
187,sample_195,sample_187
188,sample_196,sample_188
189,sample_198,sample_189
190,sample_199,sample_190
191,sample_200,sample_191
192,sample_201,sample_192
193,sample_202,sample_193
194,sample_203,sample_194
195,sample_204,sample_195
196,sample_205,sample_196
197,sample_206,sample_197
198,sample_207,sample_198
199,sample_208,sample_199
200,sample_212,sample_200
201,sample_213,sample_201
202,sample_214,sample_202
203,sample_215,sample_203
204,sample_216,sample_204
205,sample_217,sample_205
206,sample_218,sample_206
207,sample_219,sample_207
208,sample_220,sample_208
209,sample_221,sample_209
210,sample_222,sample_210
211,sample_223,sample_211
212,sample_224,sample_212
213,sample_225,sample_213
214,sample_226,sample_214
215,sample_227,sample_215
216,sample_228,sample_216
217,sample_229,sample_217
218,sample_230,sample_218
219,sample_231,sample_219
220,sample_232,sample_220
221,sample_233,sample_221
222,sample_234,sample_222
223,sample_235,sample_223
224,sample_236,sample_224
225,sample_237,sample_225
226,sample_238,sample_226
227,sample_239,sample_227
228,sample_240,sample_228
229,sample_241,sample_229
230,sample_242,sample_230
231,sample_243,sample_231
232,sample_247,sample_232
233,sample_248,sample_233
234,sample_249,sample_234
235,sample_250,sample_235
236,sample_251,sample_236
237,sample_252,sample_237
238,sample_253,sample_238
239,sample_254,sample_239
240,sample_255,sample_240
241,sample_256,sample_241
242,sample_257,sample_242
243,sample_258,sample_243
244,sample_259,sample_244
245,sample_260,sample_245
246,sample_261,sample_246
247,sample_262,sample_247
248,sample_263,sample_248
249,sample_264,sample_249
250,sample_265,sample_250
251,sample_266,sample_251
252,sample_267,sample_252
253,sample_268,sample_253
254,sample_269,sample_254
255,sample_270,sample_255
256,sample_271,sample_256
257,sample_272,sample_257
258,sample_273,sample_258
