Supplementary_Table1:  Summary of population data (MS+Seq-Gen+ART),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,sample,chr13_count,chr13_prob,chr18_count,chr18_prob,chr21_count,chr21_prob,chrX_count,chrX_prob,chrY_count,chrY_prob,total,coverage,trisomy,Z_score_CHR13,Z_score_CHR18,Z_score_CHR21
0,sample_0,1348,0.07165639,758,0.04029343,744,0.039549224,770,0.04093132,775,0.041197108,18812,0.266269,0,3.20001927,-0.110672875,-0.222605469
1,sample_1,1021,0.093327239,450,0.041133455,450,0.041133455,431,0.039396709,443,0.040493601,10940,0.151338,13,5.403237036,-0.023179334,-0.056942883
2,sample_2,1517,0.064906726,956,0.040903645,931,0.039833989,953,0.040775287,933,0.039919562,23372,0.332723,0,2.513798902,-0.047115364,-0.192827628
3,sample_3,1733,0.061514979,1155,0.040998154,1168,0.041459605,1150,0.040820673,1137,0.040359222,28172,0.402374,0,2.168969033,-0.037271722,-0.022837469
4,sample_4,1630,0.062204244,1068,0.040757136,1050,0.040070218,1074,0.040986109,1062,0.040528164,26204,0.37348,0,2.239044696,-0.062375136,-0.168125244
5,sample_5,1623,0.061937109,1050,0.040070218,1059,0.040413677,1072,0.040909785,1076,0.041062433,26204,0.37348,0,2.211885811,-0.133921645,-0.13220984
6,sample_6,1910,0.058012392,1345,0.040851658,1350,0.041003523,1367,0.041519864,1332,0.04045681,32924,0.471739,0,1.81287029,-0.052530115,-0.070529827
7,sample_7,1119,0.07986012,546,0.0389666,564,0.040251213,562,0.040108478,570,0.040679418,14012,0.195745,13,4.03407075,-0.248869903,-0.149198657
8,sample_8,1114,0.079503283,571,0.040750785,558,0.039823009,540,0.038538396,571,0.040750785,14012,0.195745,13,3.99779208,-0.063036659,-0.19397586
9,sample_9,1953,0.057883817,1380,0.040901008,1402,0.041553053,1382,0.040960285,1373,0.040693539,33740,0.483824,0,1.799798437,-0.047390094,-0.013065695
10,sample_10,985,0.097757046,393,0.039003573,376,0.037316395,396,0.03930131,379,0.037614133,10076,0.13891,13,5.853603746,-0.245018972,-0.456091666
11,sample_11,980,0.097260818,408,0.040492259,416,0.041286225,405,0.040194522,397,0.039400556,10076,0.13891,13,5.803153496,-0.089963667,-0.040967825
12,sample_12,1261,0.074228867,675,0.03973393,701,0.041264422,667,0.039263009,679,0.03996939,16988,0.239216,13,3.461556266,-0.168948044,-0.043247731
13,sample_13,1376,0.068430475,833,0.041426298,809,0.040232743,828,0.041177641,795,0.039536503,20108,0.285151,0,2.872049149,0.007321945,-0.151130065
14,sample_14,1389,0.069076984,816,0.040580863,832,0.041376567,815,0.040531132,831,0.041326835,20108,0.285151,0,2.937777987,-0.080734992,-0.031520805
15,sample_15,1172,0.077044439,612,0.040231396,622,0.040888772,593,0.038982382,623,0.04095451,15212,0.213677,13,3.74780791,-0.117134021,-0.082529329
16,sample_16,1323,0.071052632,745,0.040010741,771,0.041407089,763,0.040977444,735,0.039473684,18620,0.263176,0,3.138636801,-0.140116536,-0.028329065
17,sample_17,1293,0.074021067,710,0.040645752,693,0.039672544,708,0.040531257,689,0.039443554,17468,0.246514,13,3.440429757,-0.073976437,-0.209709915
18,sample_18,1269,0.072647126,696,0.039844287,709,0.040588505,720,0.041218228,699,0.040016029,17468,0.246514,13,3.300744833,-0.157453734,-0.113928193
