Supplementary_Table2: Summary of random mutation data (ART-Random),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
id,sample,chr13_count,chr13_prob,chr18_count,chr18_prob,chr21_count,chr21_prob,chrX_count,chrX_prob,chrY_count,chrY_prob,total,coverage,trisomy,Z_score_CHR13,Z_score_CHR18,Z_score_CHR21
0,sample_0,919,0.105826808,340,0.039152464,337,0.038807001,335,0.038576693,348,0.040073699,8684,0.118646,13,6.598211132,-0.223362008,-0.280227013
1,sample_1,905,0.104214648,320,0.036849378,329,0.037885767,345,0.039728236,327,0.037655458,8684,0.118646,13,6.43611981,-0.460037184,-0.375346729
2,sample_2,1082,0.083205168,514,0.0395263,533,0.040987388,538,0.041371886,528,0.040602891,13004,0.181632,13,4.323765096,-0.184945062,-0.055096696
3,sample_3,1089,0.083743464,536,0.041218087,510,0.039218702,509,0.039141803,533,0.040987388,13004,0.181632,13,4.377886944,-0.011089637,-0.237717921
4,sample_4,1128,0.079954636,559,0.039622909,576,0.040827899,561,0.039764673,573,0.040615254,14108,0.197378,13,3.996947081,-0.17501706,-0.071564371
5,sample_5,1120,0.079387582,558,0.039552027,581,0.041182308,575,0.040757017,576,0.040827899,14108,0.197378,13,3.939933794,-0.18230118,-0.034970789
6,sample_6,1988,0.058340181,1408,0.041319404,1380,0.040497711,1403,0.041172673,1387,0.040703134,34076,0.488511,0,1.823766416,-0.000677866,-0.105657099
7,sample_7,1006,0.091956124,422,0.03857404,431,0.039396709,419,0.038299817,435,0.03976234,10940,0.151499,13,5.203611936,-0.282803389,-0.219338222
8,sample_8,1085,0.083435866,515,0.039603199,503,0.038680406,526,0.040449093,499,0.038372808,13004,0.181264,13,4.346960174,-0.177042543,-0.293298293
9,sample_9,1094,0.084127961,529,0.040679791,515,0.039603199,505,0.038834205,524,0.040295294,13004,0.181264,13,4.416545408,-0.066407272,-0.198017655
10,sample_10,1398,0.069858085,812,0.040575655,797,0.039826104,796,0.039776134,791,0.039526284,20012,0.28342,0,2.98181029,-0.077108765,-0.175002133
11,sample_11,1395,0.069708175,830,0.041475115,817,0.040825505,793,0.039626224,826,0.041275235,20012,0.28342,0,2.966737894,0.015323701,-0.071811596
12,sample_12,1784,0.060639021,1189,0.040414684,1183,0.040210741,1208,0.041060503,1184,0.040244731,29420,0.420874,0,2.05489856,-0.093650818,-0.135287456
13,sample_13,1764,0.061463415,1170,0.040766551,1159,0.040383275,1186,0.041324042,1191,0.041498258,28700,0.410162,0,2.137785505,-0.057491468,-0.117472869
14,sample_14,1376,0.068105326,809,0.040041576,817,0.040437537,825,0.040833498,803,0.039744605,20204,0.28616,0,2.805582714,-0.13199302,-0.111870199
15,sample_15,1434,0.066996823,863,0.040319566,877,0.04097365,848,0.039618763,883,0.041253971,21404,0.303596,0,2.694130608,-0.103425502,-0.056515252
16,sample_16,1754,0.059814486,1180,0.040240076,1182,0.04030828,1200,0.040922112,1182,0.04030828,29324,0.419193,0,1.971997429,-0.111594246,-0.125216323
17,sample_17,1774,0.060496522,1213,0.041365434,1211,0.041297231,1192,0.040649298,1183,0.040342382,29324,0.419193,0,2.040571247,0.004052457,-0.023104704
18,sample_18,993,0.090371314,443,0.040316709,426,0.038769567,435,0.039588642,415,0.037768475,10988,0.152007,13,5.044270477,-0.103719131,-0.284092225
19,sample_19,1476,0.066283456,888,0.039877852,887,0.039832944,907,0.040731094,918,0.041225076,22268,0.316073,0,2.622406604,-0.148818043,-0.174295908
20,sample_20,1133,0.079766263,565,0.039777527,558,0.039284709,565,0.039777527,586,0.041255984,14204,0.198684,13,3.978007543,-0.159127792,-0.230902578
21,sample_21,1125,0.079203041,557,0.039214306,561,0.039495917,548,0.038580681,558,0.039284709,14204,0.198684,13,3.921379589,-0.217006903,-0.209094823
22,sample_22,1736,0.060085837,1166,0.040357192,1167,0.040391804,1179,0.040807144,1181,0.040876367,28892,0.413206,0,1.999279802,-0.099558904,-0.11659226
23,sample_23,1095,0.083895188,527,0.040376954,534,0.04091327,536,0.041066503,529,0.040530187,13052,0.182281,13,4.393141813,-0.097528134,-0.062749613
24,sample_24,1104,0.084584738,516,0.039534171,539,0.041296353,520,0.039840637,507,0.038844622,13052,0.182281,13,4.462471141,-0.184136162,-0.023195349
