Supplementary_Table5: Detection results of random mutation data(ART-Random) ,,,,,,,,
,,,,,,,,
,sample,chr13,chr18,chr21,chr13_zscore,chr18_zscore,chr21_zscore,label
0,sample_0,1,0,0,6.320340294,-0.211528249,-0.161327367,13
1,sample_1,1,0,0,6.250872584,-0.152359455,-0.256447084,13
2,sample_2,1,0,0,4.227118937,-0.161237504,-0.146407309,13
3,sample_3,1,0,0,4.207789705,-0.078261051,-0.094796963,13
4,sample_4,1,0,0,3.929243803,-0.113102042,-0.122795387,13
5,sample_5,1,0,0,3.954187116,-0.127670282,-0.133773461,13
6,sample_6,0,0,0,1.754428498,-0.020280177,-0.046570856,0
7,sample_7,1,0,0,5.042780007,-0.174778695,-0.134395619,13
8,sample_8,1,0,0,4.23485063,-0.117773648,-0.158317388,13
9,sample_9,1,0,0,4.339228481,-0.137529946,-0.182137548,13
10,sample_10,0,0,0,2.788381204,-0.082243902,-0.08986994,0
11,sample_11,0,0,0,2.823550129,-0.054000649,-0.095029467,0
12,sample_12,0,0,0,1.984839753,-0.022044108,-0.084398246,0
13,sample_13,0,0,0,2.03969484,-0.03242699,-0.052715234,0
14,sample_14,0,0,0,2.810559102,-0.078586477,-0.081207226,0
15,sample_15,0,0,0,2.675341048,-0.065016098,-0.080635148,0
16,sample_16,0,0,0,2.007998683,-0.043257558,-0.047752337,0
17,sample_17,0,0,0,2.011427374,0.011061348,-0.040710156,0
18,sample_18,1,0,0,5.044270477,-0.131776383,-0.218314361,13
19,sample_19,0,0,0,2.606603646,-0.074979809,-0.086196546,0
20,sample_20,1,0,0,3.939075825,-0.122953348,-0.085517542,13
21,sample_21,1,0,0,3.89660486,-0.104866125,-0.089152168,13
22,sample_22,0,0,0,2.011459653,-0.012416206,-0.104084176,0
23,sample_23,1,0,0,4.304554339,-0.058160849,-0.106259304,13
24,sample_24,1,0,0,4.215966865,-0.168389248,-0.157679848,13
25,sample_25,0,0,0,2.326642287,-0.055907102,-0.072216689,0
26,sample_26,0,0,0,2.699854754,-0.072458864,-0.107441709,0
27,sample_27,1,0,0,6.712147547,-0.182111175,-0.266038476,13
28,sample_28,1,0,0,6.724402902,-0.307372464,-0.247160042,13
29,sample_29,1,0,0,4.288795836,-0.134203276,-0.182868062,13
30,sample_30,1,0,0,4.288795836,-0.078680697,-0.107158098,13
31,sample_31,0,0,0,2.096985888,-0.000238338,-0.052625861,0
32,sample_32,0,0,0,2.148713105,-0.070102394,-0.081083651,0
33,sample_33,0,0,0,1.822871356,0.011780513,-0.022618932,0
34,sample_34,1,0,0,4.391299943,-0.16798092,-0.168380768,13
35,sample_35,0,0,0,2.233229032,-0.058031926,-0.048393926,0
36,sample_36,1,0,0,5.99471993,-0.239300456,-0.260571268,13
