Supplementary_Table4: Detection results of population data(MS+Seq-Gen+ART),,,,,,,,
,,,,,,,,
,sample,chr13,chr18,chr21,chr13_zscore,chr18_zscore,chr21_zscore,label
0,sample_0,0,0,0,2.975737174,0.024975515,-0.041948702,0
1,sample_1,1,0,0,5.05474294,-0.180269918,-0.123852195,13
2,sample_2,0,0,0,2.402874835,0.035328698,0.026405432,0
3,sample_3,0,0,0,2.042660747,-0.024331734,-0.017269723,0
4,sample_4,0,0,0,2.213825731,0.009171372,-0.044416629,0
5,sample_5,0,0,0,2.275903182,-0.042501106,-0.028454227,0
6,sample_6,0,0,0,1.797430589,0.004413291,-0.019712334,0
7,sample_7,1,0,0,4.001419947,-0.148519951,-0.115615754,13
8,sample_8,1,0,0,3.936118341,-0.059319994,-0.141735789,13
9,sample_9,0,0,0,1.759119446,-0.024237497,0.016377462,0
10,sample_10,1,0,0,5.535767169,-0.089963667,-0.212206409,13
11,sample_11,1,0,0,5.414686568,-0.16749132,-0.181072121,13
12,sample_12,1,0,0,3.389740388,-0.092308786,-0.077103001,13
13,sample_13,0,0,0,2.765871795,-0.044476254,-0.010719195,0
14,sample_14,0,0,0,2.829072601,-0.047066164,-0.031520805,0
15,sample_15,1,0,0,3.69099931,-0.07262884,-0.103151804,13
16,sample_16,1,0,0,3.054005016,-0.056210131,-0.022713077,0
17,sample_17,1,0,0,3.23090237,-0.073976437,-0.024132828,13
18,sample_18,1,0,0,3.292014525,0.009500861,-0.048078258,13
19,sample_19,1,0,0,3.170349023,-0.039599934,-0.064642348,0
20,sample_20,0,0,0,1.872732234,0.00975161,-0.042148562,0
21,sample_24,0,0,0,2.412221571,-0.026857373,-0.058486726,0
22,sample_25,0,0,0,2.340765761,-0.028636705,-0.032515587,0
23,sample_26,0,0,0,2.776511928,-0.060391595,-0.018115648,0
24,sample_27,0,0,0,2.796264666,-0.040155376,-0.104461327,0
25,sample_28,1,0,0,4.032870376,-0.05131341,-0.059246456,13
26,sample_29,1,0,0,5.384999681,-0.078569775,-0.220495011,13
27,sample_30,1,0,0,4.301462407,-0.025314362,-0.153833929,13
28,sample_31,1,0,0,3.149013933,-0.047705726,-0.09609353,0
29,sample_32,1,0,0,3.106643124,0.033322361,-0.081566733,0
30,sample_33,0,0,0,2.02138772,0.000671453,-0.02939594,0
31,sample_34,0,0,0,2.9002401,-0.033410661,-0.085953035,0
32,sample_35,0,0,0,2.721224064,-0.029399158,-0.065603096,0
33,sample_36,1,0,0,3.611458739,-0.149645891,-0.102195618,13
34,sample_37,1,0,0,3.654493236,-0.058078846,-0.136244099,13
35,sample_38,0,0,0,1.874947761,0.031256681,-0.078565548,0
